episode,frames,train_return,train_success,test_success_rate,ratio,epsilon,init_dist,avg_swing
1,32,0.601090812082363,1,nan,1.0,0.999839999999999,0.3629945107795945,0.036894258
2,61,0.617310498742129,1,nan,1.0,0.999694999999998,0.3282535607846103,0.046148468
3,91,0.6249930653109144,1,nan,1.0,0.999544999999997,0.5086504238939098,0.029897701
4,131,0.4985348192029924,0,nan,1.0,0.9993449999999957,0.44114546246506053,0.03537193
5,281,-1.7527805907836107,0,nan,1.0,0.9985949999999908,0.47263610204979717,0.069297984
6,431,-1.703189416883819,0,nan,1.0,0.9978449999999859,0.28082794867523614,0.054019317
7,581,-1.6743639068641545,0,nan,1.0,0.997094999999981,0.33562328520348855,0.053931333
8,610,0.6414566734181362,1,nan,0.9655172413793104,0.99694999999998,0.43929899054734495,0.04333013
9,760,-1.7535156368916418,0,nan,1.0,0.9961999999999751,0.44307808637157975,0.055672366
10,799,0.527327331160702,1,nan,0.9743589743589743,0.9960049999999738,0.4512293712274007,0.03277551
11,831,0.5916843299811373,1,nan,1.0,0.9958449999999728,0.39634055800437973,0.042726763
12,858,0.6736669956741654,1,nan,1.0,0.9957099999999719,0.3072005951546293,0.034866426
13,1008,-1.6610213746834264,0,nan,1.0,0.994959999999967,0.3432136544318787,0.053290755
14,1158,-1.7134641691096377,0,nan,0.9933333333333333,0.9942099999999621,0.44674278289785196,0.054743163
15,1195,0.5663789359960814,1,nan,1.0,0.9940249999999609,0.5006164651989423,0.032248467
16,1345,-1.730243185586434,0,nan,0.9933333333333333,0.9932749999999559,0.38525050050475196,0.05443526
17,1495,-1.6927313337667786,0,nan,0.9933333333333333,0.992524999999951,0.41056554484459157,0.05365713
18,1645,-1.6455803946460834,0,nan,0.9933333333333333,0.9917749999999461,0.3094953859736204,0.052151237
19,1686,0.46734772230990096,0,nan,1.0,0.9915699999999448,0.4693449776686956,0.046196204
20,1836,-1.6919750777297693,0,nan,0.9933333333333333,0.9908199999999399,0.3944630697628977,0.056927193
