episode,frames,return,Lc,La,Lbc,ratio,eps
0,90,1.0,0.0,0.0,0.0,1.0,1.0
1,171,1.0,0.0,0.0,0.0,1.0,1.0
2,321,0.0,0.0,0.0,0.0,1.0,1.0
3,399,1.0,0.0,0.0,0.0,1.0,1.0
4,489,1.0,0.0,0.0,0.0,1.0,1.0
5,639,0.0,0.0,0.0,0.0,1.0,1.0
6,789,0.0,0.0,0.0,0.0,1.0,1.0
7,888,1.0,0.0,0.0,0.0,1.0,1.0
8,979,1.0,0.0,0.0,0.0,1.0,1.0
9,1073,1.0,0.00024311344895977527,0.005538608878850937,0.005856288131326437,1.0,1.0
10,1159,1.0,0.007717355620115995,0.012450064532458782,0.012797379866242409,1.0,1.0
11,1309,0.0,0.0008050957694649696,0.0041792443953454494,0.004582648631185293,1.0,1.0
12,1459,0.0,0.0005761330830864608,0.006241200491786003,0.007078362163156271,1.0,1.0
13,1609,0.0,6.0267273511271924e-05,0.006743952631950378,0.007690134458243847,1.0,1.0
14,1759,0.0,6.234146712813526e-05,0.0017764370422810316,0.004290079697966576,1.0,1.0
15,1851,1.0,3.4889282687800005e-05,-0.0036155935376882553,0.005156949162483215,1.0,1.0
16,2001,0.0,0.0008177175186574459,-0.010438960045576096,0.004583766218274832,1.0,1.0
17,2104,1.0,0.002501710318028927,-0.013505840674042702,0.0044271633960306644,1.0,1.0
18,2197,1.0,0.0035397729370743036,-0.009984694421291351,0.010655492544174194,1.0,1.0
19,2284,1.0,0.005576598923653364,-0.019934415817260742,0.00261112954467535,1.0,1.0
20,2434,0.0,0.006821309681981802,-0.02307889237999916,0.003545313375070691,1.0,1.0
21,2516,1.0,0.012914011254906654,-0.025871453806757927,0.0023758397437632084,1.0,1.0
22,2603,1.0,0.002160935662686825,-0.02637331373989582,0.005871092900633812,1.0,1.0
23,2685,1.0,0.013743189163506031,-0.026432916522026062,0.008259259164333344,1.0,1.0
24,2786,1.0,0.003397397929802537,-0.03548887372016907,0.002650926588103175,1.0,1.0
25,2869,1.0,0.015987319871783257,-0.04081450030207634,0.001680339453741908,1.0,1.0
26,3019,0.0,0.019105961546301842,-0.039938099682331085,0.007962698116898537,1.0,1.0
27,3110,1.0,0.024416180327534676,-0.05091816559433937,0.0020259690936654806,1.0,1.0
28,3199,1.0,0.0028458365704864264,-0.04976555332541466,0.007911458611488342,1.0,1.0
29,3281,1.0,0.005825779866427183,-0.05244995281100273,0.00572859076783061,1.0,1.0
30,3380,1.0,0.07814562320709229,-0.04625733196735382,0.013940764591097832,1.0,1.0
31,3476,1.0,0.008060436695814133,-0.055556491017341614,0.004471418913453817,1.0,1.0
32,3564,1.0,0.0033855026122182608,0.002240922302007675,0.056039631366729736,1.0,1.0
33,3673,1.0,0.03720185160636902,-0.03837862238287926,0.015201945789158344,1.0,1.0
34,3762,1.0,0.03578061982989311,-0.0474417470395565,0.00562703562900424,1.0,1.0
35,3860,1.0,0.004354455508291721,-0.048513006418943405,0.005599854979664087,1.0,1.0
36,3946,1.0,0.0026871548034250736,-0.04637774080038071,0.005679357796907425,1.0,1.0
37,4048,1.0,0.0021676113829016685,-0.049933064728975296,0.002272829646244645,1.0,1.0
38,4124,1.0,0.02582143433392048,-0.048981472849845886,0.0032086516730487347,1.0,1.0
39,4274,0.0,0.059561800211668015,-0.05010104179382324,0.0034973795991390944,1.0,1.0
40,4369,1.0,0.0034053202252835035,-0.05001499503850937,0.004048943519592285,1.0,1.0
41,4452,1.0,0.006009033881127834,-0.05069788545370102,0.005812004208564758,1.0,1.0
42,4526,1.0,0.010980653576552868,-0.05699097365140915,0.0039717284962534904,1.0,1.0
43,4676,0.0,0.010050631128251553,-0.0665348470211029,0.0032059047371149063,1.0,1.0
44,4826,0.0,0.056427523493766785,-0.074429452419281,0.002519406611099839,1.0,1.0
45,4976,0.0,0.019822414964437485,-0.08095510303974152,0.0018782609840855002,1.0,1.0
46,5126,0.0,0.008210240863263607,-0.08434928953647614,0.0045371707528829575,1.0,1.0
47,5218,1.0,0.1404012143611908,-0.09083095192909241,0.0025689485482871532,1.0,1.0
48,5296,1.0,0.029864242300391197,-0.09312552958726883,0.0010578553192317486,1.0,1.0
49,5379,1.0,0.05847765505313873,-0.09630768746137619,0.00024311390006914735,1.0,1.0
50,5474,1.0,0.08329512178897858,-0.10336434096097946,0.0003047414938919246,1.0,0.9995249999999969
51,5549,1.0,0.10169622302055359,-0.11217054724693298,0.0019861822947859764,1.0,0.9991499999999944
52,5656,1.0,0.14414185285568237,-0.11993648111820221,0.0,1.0,0.9986149999999909
53,5732,1.0,0.017415016889572144,-0.12739048898220062,0.0,1.0,0.9982349999999884
54,5821,1.0,0.17824989557266235,-0.1371716856956482,0.0,1.0,0.9977899999999855
55,5901,1.0,0.18852846324443817,-0.14908431470394135,0.0,1.0,0.9973899999999829
56,6020,0.0,0.6036214232444763,-0.1667451411485672,0.0,1.0,0.996794999999979
57,6103,1.0,0.46908795833587646,-0.18397225439548492,0.0,1.0,0.9963799999999763
58,6253,0.0,0.6391561627388,-0.1993112713098526,0.0,0.9933333333333333,0.9956299999999714
59,6403,0.0,0.3745075464248657,0.0270785391330719,0.23062044382095337,0.9933333333333333,0.9948799999999665
60,6511,1.0,0.5866717100143433,-0.0458635538816452,0.16491292417049408,0.9629629629629629,0.9943399999999629
61,6604,1.0,0.7397274971008301,0.04822501540184021,0.25853240489959717,1.0,0.9938749999999599
62,6687,1.0,0.08570235967636108,0.05776982009410858,0.2918720245361328,1.0,0.9934599999999572
63,6773,1.0,0.4006541967391968,0.031523197889328,0.2545989453792572,0.9883720930232558,0.9930299999999543
64,6855,1.0,0.47518014907836914,-0.2367032766342163,0.0,1.0,0.9926199999999517
65,6940,1.0,0.3197749853134155,0.0034652799367904663,0.24460193514823914,0.9882352941176471,0.9921949999999489
66,7090,0.0,0.6365593671798706,0.12663745880126953,0.38917142152786255,0.9933333333333333,0.991444999999944
67,7169,1.0,0.29076892137527466,-0.2838659882545471,0.0,1.0,0.9910499999999414
68,7268,1.0,0.09789776802062988,-0.036557599902153015,0.2419760674238205,0.98989898989899,0.9905549999999381
69,7418,0.0,0.19799603521823883,0.028183788061141968,0.32896238565444946,0.9733333333333334,0.9898049999999332
70,7508,1.0,0.6559577584266663,-0.042521148920059204,0.27822041511535645,1.0,0.9893549999999303
71,7658,0.0,0.5845770835876465,-0.32434743642807007,0.0,0.9933333333333333,0.9886049999999253
72,7808,0.0,0.5666695833206177,-0.32406729459762573,0.0220775306224823,0.9933333333333333,0.9878549999999204
73,7904,1.0,0.3664553165435791,-0.34273621439933777,0.008397509343922138,0.9895833333333334,0.9873749999999173
74,8054,0.0,1.6330101490020752,-0.3592698574066162,0.011150882579386234,0.9933333333333333,0.9866249999999124
75,8136,1.0,4.659359931945801,-0.3557918667793274,0.020951908081769943,1.0,0.9862149999999097
76,8286,0.0,1.7790693044662476,-0.3739162087440491,0.0047120265662670135,0.9933333333333333,0.9854649999999048
77,8380,1.0,1.8674046993255615,-0.3627529442310333,0.018838845193386078,0.9787234042553191,0.9849949999999017
78,8477,1.0,0.6493633389472961,-0.3861953616142273,0.002407704247161746,0.979381443298969,0.9845099999998985
79,8627,0.0,4.3218159675598145,-0.3870382010936737,0.010453411377966404,0.98,0.9837599999998936
80,8777,0.0,0.08242098987102509,-0.3965829312801361,0.01000747736543417,0.9933333333333333,0.9830099999998887
81,8872,1.0,2.504474401473999,-0.39161181449890137,0.013661565259099007,0.9473684210526315,0.9825349999998856
82,9022,0.0,0.29077622294425964,-0.4079396426677704,0.006199691444635391,0.98,0.9817849999998807
83,9114,1.0,0.08458609133958817,-0.4102282226085663,0.028345627710223198,0.9891304347826086,0.9813249999998777
84,9264,0.0,2.522947072982788,-0.44993072748184204,0.004088496323674917,0.9733333333333334,0.9805749999998727
85,9372,1.0,3.032745599746704,-0.47108539938926697,0.0005575632676482201,0.9907407407407407,0.9800349999998692
86,9522,0.0,3.2800707817077637,-0.5179448127746582,0.002245268551632762,0.98,0.9792849999998643
87,9620,1.0,5.998934745788574,-0.5217823386192322,0.0021954865660518408,0.9897959183673469,0.9787949999998611
88,9727,1.0,8.149641036987305,-0.5412139892578125,0.039037998765707016,0.9906542056074766,0.9782599999998576
89,9813,1.0,1.245963454246521,-0.6487088203430176,0.013965444639325142,0.9883720930232558,0.9778299999998548
90,9896,1.0,16.083818435668945,-0.7359455823898315,0.024544382467865944,0.963855421686747,0.977414999999852
91,10006,1.0,22.556262969970703,-0.5856761932373047,0.21870160102844238,0.9727272727272728,0.9768649999998484
92,10103,1.0,17.791553497314453,-0.6714745759963989,0.1308424323797226,0.979381443298969,0.9763799999998453
93,10193,1.0,26.802061080932617,-0.8256481885910034,0.05918749421834946,0.9777777777777777,0.9759299999998423
94,10297,1.0,19.41340446472168,-0.7919784784317017,0.1415976881980896,0.9711538461538461,0.9754099999998389
95,10379,1.0,5.87293815612793,-0.9392154216766357,0.04674374684691429,1.0,0.9749999999998362
96,10484,1.0,19.008895874023438,-0.9793918132781982,0.026986001059412956,0.9714285714285714,0.9744749999998328
97,10567,1.0,5.212735176086426,-1.0230599641799927,0.0565241314470768,0.9879518072289156,0.9740599999998301
98,10653,1.0,15.746667861938477,-1.0098544359207153,0.0462823212146759,0.9651162790697675,0.9736299999998272
99,10803,0.0,13.045724868774414,-1.031114101409912,0.08624763786792755,0.98,0.9728799999998223
100,10892,1.0,33.7320556640625,-1.1901671886444092,0.029789045453071594,0.9775280898876404,0.9724349999998194
101,10982,1.0,17.934720993041992,-1.1601265668869019,0.10495048016309738,0.9888888888888889,0.9719849999998165
102,11070,1.0,76.09801483154297,-1.2910109758377075,0.13014590740203857,0.9772727272727273,0.9715449999998136
103,11167,1.0,10.973472595214844,-1.4510021209716797,0.0,0.9690721649484536,0.9710599999998104
104,11317,0.0,29.973674774169922,-1.7166781425476074,0.0,0.96,0.9703099999998055
105,11467,0.0,43.73750686645508,-1.823133945465088,0.0,0.9733333333333334,0.9695599999998006
106,11560,1.0,174.648193359375,-1.9107985496520996,0.0,0.9354838709677419,0.9690949999997975
107,11659,1.0,60.924652099609375,-2.161498546600342,0.0,0.9696969696969697,0.9685999999997943
108,11787,0.0,37.6817626953125,-2.1728014945983887,0.08531741797924042,0.9453125,0.9679599999997901
109,11896,0.0,503.33709716796875,-2.7047393321990967,0.0,0.944954128440367,0.9674149999997865
110,11983,1.0,238.17042541503906,-2.5167853832244873,0.0,0.9540229885057471,0.9669799999997837
111,12133,0.0,113.7345962524414,-2.8304247856140137,0.0,0.9466666666666667,0.9662299999997788
112,12224,1.0,53.959075927734375,-3.043785333633423,0.0,0.978021978021978,0.9657749999997758
113,12308,1.0,151.75067138671875,-3.1228976249694824,0.0,0.9880952380952381,0.965354999999773
114,12458,0.0,125.56849670410156,-3.34220814704895,0.0,0.98,0.9646049999997681
115,12565,1.0,48.24061584472656,-3.0828442573547363,0.28286898136138916,0.9252336448598131,0.9640699999997646
116,12670,1.0,584.5667724609375,-3.707961320877075,0.0,0.9523809523809523,0.9635449999997612
117,12748,1.0,442.54754638671875,-3.9557628631591797,0.0,0.9871794871794872,0.9631549999997586
118,12838,1.0,322.716796875,-4.397892951965332,0.0,0.9555555555555556,0.9627049999997557
119,12988,0.0,1211.3043212890625,-4.498312473297119,0.0,0.98,0.9619549999997508
120,13090,1.0,838.97021484375,-4.985036849975586,0.0,0.9411764705882353,0.9614449999997474
121,13195,1.0,366.12054443359375,-5.027054786682129,0.0,0.9619047619047619,0.960919999999744
122,13345,0.0,518.31884765625,-5.303183555603027,0.0,0.9666666666666667,0.9601699999997391
123,13440,1.0,875.5770263671875,-5.344101905822754,0.1377040594816208,0.9578947368421052,0.959694999999736
