episode,frames,train_return,train_success,test_success_rate,ratio,epsilon,init_dist,avg_swing,pred_loss
1,1,-0.05049738322442555,0,nan,2.0,0.9999899999999999,0.21952941637874118,0.43589917,0.0
2,151,-4.687737428597307,0,nan,1.0,0.999239999999995,0.28909706560147774,0.059557144,0.0
3,182,0.21274133656986294,0,nan,1.0,0.999084999999994,0.47495489910028366,0.033004083,0.0
4,332,-3.3181746244713755,0,nan,1.0,0.9983349999999891,0.44705830066159247,0.05091632,0.005285033962378899
5,482,-3.7439349100337496,0,nan,1.0,0.9975849999999842,0.323485304120439,0.0500064,0.002163990238138164
6,482,0,0,nan,1.0,0.9975799999999841,0.44425127660850616,0.0,0.0
7,484,-0.06563943755016978,0,nan,1.5,0.997564999999984,0.1574070164923306,0.46187997,0.003533617127686739
8,505,0.3751461326985315,0,nan,1.0,0.9974599999999834,0.12777337354765753,0.02438581,0.002441597803096686
9,537,0.06661016876930248,0,nan,1.0,0.9972999999999823,0.74750072494557,0.052124668,0.002014224677623133
10,687,-3.674604655762965,0,nan,1.0,0.9965499999999774,0.6309550791574978,0.056117006,0.0013120978847534085
11,837,-3.5819173446321253,0,nan,0.9933333333333333,0.9957999999999725,0.5099163901422024,0.053482298,0.0008784521862010782
12,865,0.18479202714120047,0,nan,1.0,0.9956599999999716,0.3961277224199924,0.040140845,0.0007628920003688629
13,1015,-3.4977018337019756,0,nan,1.0,0.9949099999999667,0.6610457545964905,0.05394969,0.0006435884747770615
14,1165,-3.362319179187738,0,nan,1.0,0.9941599999999617,0.2923985548925071,0.052853562,0.0006184724678557056
15,1315,-3.5428161723836453,0,nan,0.9933333333333333,0.9934099999999568,0.4361826667565938,0.04990968,0.0006991429789923131
16,1465,-3.4248543009945984,0,nan,1.0,0.9926599999999519,0.6656807941072539,0.05017675,0.000719318982543579
17,1465,0,0,nan,1.0,0.9926549999999519,0.3107730974592719,0.0,0.0
18,1489,0.2931896186495291,0,nan,0.9583333333333334,0.9925349999999511,0.24933759664843863,0.023878543,0.0007249123888565615
19,1639,-3.1642758048229527,0,nan,1.0,0.9917849999999462,0.4907357956983084,0.055116266,0.0006829964431623618
20,1673,0.0500416123662788,0,nan,1.0,0.9916149999999451,0.4026100119636394,0.035907414,0.0005954305841655963
21,1674,-0.03604048517106391,0,nan,2.0,0.991604999999945,0.4273795334529376,0.48236722,0.0008254245913121849
22,1703,0.1881482900168545,0,nan,1.0,0.991459999999944,0.22026247205604485,0.039307587,0.0006447654189381363
23,1729,0.3192540828266418,0,nan,1.0,0.9913299999999432,0.28356415822122505,0.02245172,0.0007146482306640022
24,1756,0.14115200763905034,0,nan,1.0,0.9911949999999423,0.24222442243218437,0.046421334,0.0006560921185020426
25,1906,-3.8458517671872765,0,nan,0.9866666666666667,0.9904449999999374,0.4627074714562233,0.09893591,0.0008289176659309305
26,2056,-3.564718754854565,0,nan,0.9866666666666667,0.9896949999999325,0.5942748014798769,0.0516682,0.0006832857764675282
27,2081,0.22055199389917057,0,nan,1.0,0.9895699999999317,0.17650185438532967,0.03077977,0.000633554063970223
28,2111,0.11064574372815439,0,nan,1.0,0.9894199999999307,0.4841889012279302,0.031142188,0.0006402896067205196
29,2261,-3.2460353269452984,0,nan,0.9933333333333333,0.9886699999999258,0.5772725327963176,0.058204424,0.0006529816805656689
30,2290,0.17674943268142984,0,0.06,0.9655172413793104,0.9885249999999248,0.5697188212735734,0.036719855,0.00061060564646674
31,2440,-3.2778635646799725,0,nan,1.0,0.9877749999999199,0.3082892058392184,0.053119395,0.0005893664074634822
32,2590,-3.4167618197140905,0,nan,0.98,0.987024999999915,0.5808132347652475,0.054433957,0.0005558079903130419
33,2591,-0.050497036566819725,0,nan,2.0,0.9870149999999149,0.26515279080265614,0.50748485,0.0006333942001219839
34,2630,-0.11211545072835483,0,nan,0.9743589743589743,0.9868199999999137,0.6436107313796586,0.040761106,0.0005968170921849564
35,2631,-0.05049725931275819,0,nan,2.0,0.9868099999999136,0.2203850107802692,0.43349472,0.0023718703305348754
