idx,x,y
0.000000000000000000e+00,2.028686355502075100e-01,2.021688857188502497e-01
1.000000000000000000e+00,1.828686355502075478e-01,2.021688857188502497e-01
2.000000000000000000e+00,1.628686355502075300e-01,2.221688857188502675e-01
3.000000000000000000e+00,1.428686355502075123e-01,2.221688857188502675e-01
4.000000000000000000e+00,1.228686355502075500e-01,2.421688857188502852e-01
5.000000000000000000e+00,1.028686355502075322e-01,2.621688857188502197e-01
6.000000000000000000e+00,8.286863555020751448e-02,2.821688857188502375e-01
7.000000000000000000e+00,6.286863555020749672e-02,3.021688857188502553e-01
8.000000000000000000e+00,6.286863555020749672e-02,3.221688857188502730e-01
9.000000000000000000e+00,6.286863555020749672e-02,3.421688857188502908e-01
1.000000000000000000e+01,6.286863555020749672e-02,3.621688857188501975e-01
1.100000000000000000e+01,6.286863555020749672e-02,3.821688857188502153e-01
1.200000000000000000e+01,6.286863555020749672e-02,4.021688857188502331e-01
1.300000000000000000e+01,8.286863555020751448e-02,4.221688857188502508e-01
1.400000000000000000e+01,1.028686355502075322e-01,4.421688857188502686e-01
1.500000000000000000e+01,1.228686355502075500e-01,4.621688857188502864e-01
1.600000000000000000e+01,1.428686355502075123e-01,4.821688857188501931e-01
1.700000000000000000e+01,1.628686355502075300e-01,4.821688857188501931e-01
1.800000000000000000e+01,1.828686355502075478e-01,5.021688857188502109e-01
1.900000000000000000e+01,2.028686355502075100e-01,5.021688857188502109e-01
2.000000000000000000e+01,2.228686355502075278e-01,5.021688857188502109e-01
2.100000000000000000e+01,2.428686355502075456e-01,5.021688857188502109e-01
2.200000000000000000e+01,2.628686355502075078e-01,5.021688857188502109e-01
2.300000000000000000e+01,2.828686355502075256e-01,5.021688857188502109e-01
2.400000000000000000e+01,3.028686355502075433e-01,5.021688857188502109e-01
2.500000000000000000e+01,3.228686355502075611e-01,5.021688857188502109e-01
2.600000000000000000e+01,3.428686355502075789e-01,5.021688857188502109e-01
2.700000000000000000e+01,3.628686355502074856e-01,5.021688857188502109e-01
2.800000000000000000e+01,3.828686355502075034e-01,5.021688857188502109e-01
2.900000000000000000e+01,4.028686355502075211e-01,5.021688857188502109e-01
3.000000000000000000e+01,4.228686355502075389e-01,5.021688857188502109e-01
3.100000000000000000e+01,4.428686355502075567e-01,5.021688857188502109e-01
3.200000000000000000e+01,4.628686355502075744e-01,5.021688857188502109e-01
3.300000000000000000e+01,4.828686355502074812e-01,5.021688857188502109e-01
3.400000000000000000e+01,5.028686355502074434e-01,5.021688857188502109e-01
