episode,frames,return,Lc,La,Lbc,explore_noise,success
0,38,-37.90883462998108,0.0,0.0,0.0,0.1,0
1,188,-82.26991495169379,0.0,0.0,0.0,0.1,0
2,204,-14.624702183367503,0.0,0.0,0.0,0.1,0
3,226,-14.105059860236274,0.0,0.0,0.0,0.1,0
4,260,-25.969839301695746,0.0,0.0,0.0,0.1,0
5,410,-82.50185349887222,0.0,0.0,0.0,0.1,0
6,461,-45.524338963143855,0.0,0.0,0.0,0.1,0
7,487,-30.438673173053324,0.0,0.0,0.0,0.1,0
8,518,-58.46820334268333,0.0,0.0,0.0,0.1,0
9,572,-34.889316430452155,0.0,0.0,0.0,0.1,0
10,615,-22.280229835929383,0.0,0.0,0.0,0.1,0
11,664,-53.53259540740424,0.0,0.0,0.0,0.1,0
12,681,-11.923455901813082,0.0,0.0,0.0,0.1,0
13,703,-25.028990413492618,0.0,0.0,0.0,0.1,0
14,704,-8.129430615934456,0.0,0.0,0.0,0.1,0
15,733,-29.26117215832404,0.0,0.0,0.0,0.1,0
16,747,-14.607442901236544,0.0,0.0,0.0,0.1,0
17,766,-16.953860986200247,0.0,0.0,0.0,0.1,0
18,792,-52.509951829448035,0.0,0.0,0.0,0.1,0
19,863,-82.91544941181907,0.0,0.0,0.0,0.1,0
20,932,-57.12221517589297,0.0,0.0,0.0,0.1,0
21,1024,-87.72589707143398,0.0,0.0,0.0,0.1,0
22,1080,-65.79473400949769,0.0,0.0,0.0,0.1,0
23,1086,-12.825110827852262,0.0,0.0,0.0,0.1,0
24,1101,-15.163395248033545,0.0,0.0,0.0,0.1,0
25,1102,-8.06301089107639,0.0,0.0,0.0,0.1,0
26,1115,-13.386769135989937,0.0,0.0,0.0,0.1,0
27,1147,-41.203659066157186,0.0,0.0,0.0,0.1,0
28,1158,-13.8620954758771,0.0,0.0,0.0,0.1,0
29,1169,-14.618861643154926,0.0,0.0,0.0,0.1,0
30,1179,-11.038742483548452,0.0,0.0,0.0,0.1,0
31,1197,-14.662557405287988,0.0,0.0,0.0,0.1,0
32,1215,-22.291377152497034,0.0,0.0,0.0,0.1,0
33,1233,-16.79577993316759,0.0,0.0,0.0,0.1,0
34,1245,-9.300249393776609,0.0,0.0,0.0,0.1,0
35,1395,-84.16685625392779,0.0,0.0,0.0,0.1,0
36,1454,-60.78992631011536,0.0,0.0,0.0,0.1,0
37,1487,-47.879651433116734,0.0,0.0,0.0,0.1,0
38,1501,-12.563634851864524,0.0,0.0,0.0,0.1,0
39,1547,-45.15129502345589,0.0,0.0,0.0,0.1,0
40,1563,-17.972232188758127,0.0,0.0,0.0,0.1,0
41,1605,-49.919374539525464,0.0,0.0,0.0,0.1,0
42,1616,-11.232585329484921,0.0,0.0,0.0,0.1,0
43,1629,-13.217450375897606,0.0,0.0,0.0,0.1,0
44,1643,-14.682918128112078,0.0,0.0,0.0,0.1,0
45,1675,-38.731032724565345,0.0,0.0,0.0,0.1,0
46,1726,-24.624421769513837,0.0,0.0,0.0,0.1,0
47,1737,-14.544970887892077,0.0,0.0,0.0,0.1,0
48,1750,-12.999720250542984,0.0,0.0,0.0,0.1,0
49,1788,-50.074599297869,0.0,0.0,0.0,0.1,0
50,1811,-15.241266179463377,0.0,0.0,0.0,0.1,0
51,1850,-50.72475752482813,0.0,0.0,0.0,0.1,0
52,2000,-89.79099852611888,0.0,0.0,0.0,0.1,0
53,2016,-16.411165859434682,0.0,0.0,0.0,0.1,0
54,2037,-13.222286768380007,0.0,0.0,0.0,0.1,0
55,2055,-11.789266893014853,0.0,0.0,0.0,0.1,0
56,2098,-49.228337523480306,0.0,0.0,0.0,0.1,0
57,2118,-19.13705121280657,0.0,0.0,0.0,0.1,0
