episode,frames,return,Lc,La,Lbc,ratio,test
1.0,100.0,0.0,4.775463094119914e-05,0.16064399480819702,0.16938859224319458,0.0,0.0
2.0,200.0,0.0,0.0014325147882724802,0.1209945057829221,0.13124737640221915,0.0,0.0
3.0,300.0,0.0,0.0006194357949425467,0.08436122536659241,0.09432336390018463,0.01,0.0
4.0,400.0,0.0,0.00024972425100194026,0.1819699246968542,0.1918561863047736,0.01,0.0
5.0,500.0,0.0,0.0001225926300523699,0.057878523444135986,0.0678054148124324,0.0,0.0
6.0,600.0,0.0,4.9919856709576294e-05,0.04425524344498461,0.05418539995496923,0.01,0.0
7.0,700.0,0.0,2.9465004095422606e-05,0.0305144119148071,0.040407355015094466,0.01,0.0
8.0,800.0,0.0,2.0589943475594433e-05,0.02763131062189738,0.03751866693298022,0.01,0.0
9.0,900.0,0.0,1.6249197281414288e-05,0.03508803253883824,0.044974070371073836,0.05,0.0
10.0,1000.0,0.0,1.5789791943557486e-05,0.013552071918782434,0.023417948549123185,0.01,0.0
11.0,1100.0,0.0,1.3952479526952153e-05,0.00967761648020574,0.0195381511002779,0.04,0.0
12.0,1200.0,0.0,1.0755406986825857e-05,0.012542808387914429,0.022391266513453877,0.01,0.0
13.0,1300.0,0.0,1.0980957449646667e-05,0.01470153171569109,0.02453424986451864,0.01,0.0
14.0,1400.0,0.0,9.707486276090128e-06,0.015928306961777033,0.025749742570850585,0.03,0.0
15.0,1500.0,0.0,9.422917800889237e-06,0.01896525431295921,0.028774040783273763,0.03,0.0
16.0,1600.0,0.0,8.07988345191153e-06,0.0063845986320126445,0.016179440332756888,0.03,0.0
17.0,1700.0,0.0,6.946429107990822e-06,0.008436193082933172,0.018212289619965082,0.06,0.0
18.0,1800.0,0.0,5.832305396324955e-06,0.0052709047682583336,0.01502863106184772,0.07,0.0
19.0,1900.0,0.0,5.384580728442981e-06,0.0016195639036595821,0.011359745875705738,0.01,0.0
20.0,2000.0,0.0,4.536146422814897e-06,0.00710477285946791,0.016823852888475627,0.02,0.0
21.0,2100.0,0.0,3.70186591303869e-06,0.004633802466276215,0.014331008012338383,0.04,0.0
22.0,2200.0,0.0,3.168369636070912e-06,0.003910912234070045,0.013586764634099035,0.0,0.0
23.0,2300.0,0.0,2.6425808657264e-06,0.0017780693861740556,0.011433651236901906,0.03,0.0
24.0,2400.0,0.0,2.2368531606685873e-06,0.0024193294811993837,0.012054506922140718,0.04,0.0
